Current, Voltage, Seconds
-2.19784,3.79724,06/16/2017 16:04:50.046478240
-2.19784,3.79693,06/16/2017 16:04:51.045960940
-2.19784,3.7966,06/16/2017 16:04:52.045445480
-2.19784,3.79629,06/16/2017 16:04:53.044941160
-2.19784,3.79597,06/16/2017 16:04:54.044481540
-2.19784,3.79565,06/16/2017 16:04:55.043960840
-2.19784,3.79532,06/16/2017 16:04:56.043493620
-2.19784,3.79503,06/16/2017 16:04:57.043002900
-2.19784,3.79471,06/16/2017 16:04:58.042515980
-2.19784,3.79438,06/16/2017 16:04:59.042034300
-2.19784,3.79407,06/16/2017 16:05:00.041509460
-2.19784,3.79376,06/16/2017 16:05:01.041000260
-2.19784,3.79345,06/16/2017 16:05:02.040497380
-2.19784,3.79313,06/16/2017 16:05:03.039982560
-2.19784,3.79282,06/16/2017 16:05:04.039456840
-2.19785,3.79251,06/16/2017 16:05:05.038942380
-2.19785,3.79219,06/16/2017 16:05:06.038487660
-2.19784,3.79188,06/16/2017 16:05:07.037988660
-2.19784,3.79155,06/16/2017 16:05:08.037488440
-2.19785,3.79124,06/16/2017 16:05:09.036988340
-2.19785,3.79093,06/16/2017 16:05:10.036497120
-2.19784,3.79061,06/16/2017 16:05:11.036006860
-2.19784,3.79029,06/16/2017 16:05:12.035527980
-2.19784,3.78999,06/16/2017 16:05:13.035114920
-2.19784,3.78967,06/16/2017 16:05:14.034601480
-2.19784,3.78935,06/16/2017 16:05:15.034073700
-2.19784,3.78904,06/16/2017 16:05:16.033562260
-2.19785,3.78873,06/16/2017 16:05:17.033066800
-2.19785,3.78841,06/16/2017 16:05:18.032587720
-2.19784,3.7881,06/16/2017 16:05:19.032083660
-2.19784,3.78779,06/16/2017 16:05:20.031598940
-2.19784,3.78748,06/16/2017 16:05:21.031096920
-2.19785,3.78716,06/16/2017 16:05:22.030569020
-2.19784,3.78685,06/16/2017 16:05:23.030078360
-2.19785,3.78653,06/16/2017 16:05:24.029578620
-2.19785,3.78623,06/16/2017 16:05:25.029060500
-2.19784,3.7859,06/16/2017 16:05:26.028570700
-2.19785,3.7856,06/16/2017 16:05:27.028070380
-2.19784,3.78528,06/16/2017 16:05:28.027578020
-2.19784,3.78497,06/16/2017 16:05:29.027094760
-2.19784,3.78465,06/16/2017 16:05:30.026579700
-2.19784,3.78433,06/16/2017 16:05:31.026074400
-2.19784,3.78402,06/16/2017 16:05:32.025594060
-2.19784,3.78371,06/16/2017 16:05:33.025079440
-2.19784,3.78339,06/16/2017 16:05:34.024557120
-2.19784,3.78309,06/16/2017 16:05:35.024036560
-2.19784,3.78278,06/16/2017 16:05:36.023518940
-2.19784,3.78247,06/16/2017 16:05:37.023001360
-2.19784,3.78216,06/16/2017 16:05:38.022555280
-2.19784,3.78184,06/16/2017 16:05:39.022041640
-2.19784,3.78154,06/16/2017 16:05:40.021525980
-2.19784,3.78122,06/16/2017 16:05:41.021030860
-2.19784,3.78091,06/16/2017 16:05:42.020533140
-2.19784,3.7806,06/16/2017 16:05:43.020015020
-2.19784,3.78029,06/16/2017 16:05:44.019531680
-2.19784,3.77998,06/16/2017 16:05:45.019047260
-2.19784,3.77967,06/16/2017 16:05:46.018546060
-2.19784,3.77937,06/16/2017 16:05:47.018108020
-2.19784,3.77906,06/16/2017 16:05:48.017643380
-2.19784,3.77875,06/16/2017 16:05:49.017164960
-2.19784,3.77844,06/16/2017 16:05:50.016706160
-2.19784,3.77814,06/16/2017 16:05:51.016253360
-2.19784,3.77783,06/16/2017 16:05:52.015758780
-2.19784,3.77751,06/16/2017 16:05:53.015254520
-2.19784,3.7772,06/16/2017 16:05:54.014736440
-2.19784,3.7769,06/16/2017 16:05:55.014222760
-2.19784,3.77658,06/16/2017 16:05:56.013716180
-2.19784,3.77628,06/16/2017 16:05:57.013232340
-2.19784,3.77596,06/16/2017 16:05:58.012706820
-2.19784,3.77566,06/16/2017 16:05:59.012180800
-2.19784,3.77535,06/16/2017 16:06:00.011656860
-2.19784,3.77505,06/16/2017 16:06:01.011143180
-2.19784,3.77474,06/16/2017 16:06:02.010636140
-2.19784,3.77442,06/16/2017 16:06:03.010163480
-2.19784,3.77412,06/16/2017 16:06:04.009695080
-2.19784,3.77381,06/16/2017 16:06:05.009214600
-2.19784,3.7735,06/16/2017 16:06:06.008726480
-2.19784,3.77319,06/16/2017 16:06:07.008252640
-2.19784,3.77288,06/16/2017 16:06:08.007774880
-2.19784,3.77258,06/16/2017 16:06:09.007347140
-2.19784,3.77226,06/16/2017 16:06:10.006888260
-2.19784,3.77196,06/16/2017 16:06:11.006408440
-2.19784,3.77166,06/16/2017 16:06:12.005933300
-2.19784,3.77135,06/16/2017 16:06:13.005502720
-2.19784,3.77104,06/16/2017 16:06:14.005001460
-2.19784,3.77074,06/16/2017 16:06:15.004506680
-2.19785,3.77042,06/16/2017 16:06:16.004020840
-2.19784,3.77012,06/16/2017 16:06:17.003556160
-2.19784,3.76982,06/16/2017 16:06:18.003063520
