Current, Voltage, Seconds
-2.19783,3.87242,06/19/2017 14:20:21.015195260
-2.19783,3.87207,06/19/2017 14:20:22.014715300
-2.19783,3.87168,06/19/2017 14:20:23.014264420
-2.19783,3.87133,06/19/2017 14:20:24.013805540
-2.19783,3.87096,06/19/2017 14:20:25.013290440
-2.19783,3.87059,06/19/2017 14:20:26.012778940
-2.19783,3.87022,06/19/2017 14:20:27.012303380
-2.19784,3.86988,06/19/2017 14:20:28.011828200
-2.19784,3.86952,06/19/2017 14:20:29.011316940
-2.19783,3.86914,06/19/2017 14:20:30.010822680
-2.19783,3.8688,06/19/2017 14:20:31.010332720
-2.19783,3.86842,06/19/2017 14:20:32.009810560
-2.19783,3.86805,06/19/2017 14:20:33.009291760
-2.19783,3.86772,06/19/2017 14:20:34.008763880
-2.19783,3.86734,06/19/2017 14:20:35.008260740
-2.19783,3.86698,06/19/2017 14:20:36.007746280
-2.19783,3.86662,06/19/2017 14:20:37.007228940
-2.19783,3.86627,06/19/2017 14:20:38.006692340
-2.19783,3.86592,06/19/2017 14:20:39.006174220
-2.19783,3.86556,06/19/2017 14:20:40.005646320
-2.19784,3.86519,06/19/2017 14:20:41.005185220
-2.19783,3.86483,06/19/2017 14:20:42.004699880
-2.19783,3.86447,06/19/2017 14:20:43.004176440
-2.19784,3.86412,06/19/2017 14:20:44.003670240
-2.19783,3.86377,06/19/2017 14:20:45.003170840
-2.19783,3.8634,06/19/2017 14:20:46.002661700
-2.19783,3.86306,06/19/2017 14:20:47.002150720
-2.19784,3.86269,06/19/2017 14:20:48.001651280
-2.19783,3.86233,06/19/2017 14:20:49.001134400
-2.19783,3.86198,06/19/2017 14:20:50.000623080
-2.19784,3.86161,06/19/2017 14:20:51.000117520
-2.19783,3.86127,06/19/2017 14:20:51.999592820
-2.19783,3.86092,06/19/2017 14:20:52.999101760
-2.19783,3.86057,06/19/2017 14:20:53.998604580
-2.19783,3.86021,06/19/2017 14:20:54.998111820
-2.19783,3.85986,06/19/2017 14:20:55.997609840
-2.19783,3.85951,06/19/2017 14:20:56.997104140
-2.19783,3.85915,06/19/2017 14:20:57.996592320
-2.19783,3.85879,06/19/2017 14:20:58.996118340
-2.19783,3.85845,06/19/2017 14:20:59.995668000
-2.19783,3.85809,06/19/2017 14:21:00.995171360
-2.19783,3.85774,06/19/2017 14:21:01.994668500
-2.19783,3.85739,06/19/2017 14:21:02.994166660
-2.19783,3.85704,06/19/2017 14:21:03.993654580
-2.19783,3.85668,06/19/2017 14:21:04.993145640
-2.19783,3.85633,06/19/2017 14:21:05.992661280
-2.19783,3.85598,06/19/2017 14:21:06.992178740
-2.19783,3.85564,06/19/2017 14:21:07.991637180
-2.19783,3.85528,06/19/2017 14:21:08.991120880
-2.19783,3.85493,06/19/2017 14:21:09.990604120
-2.19783,3.85458,06/19/2017 14:21:10.990106860
-2.19783,3.85423,06/19/2017 14:21:11.989627760
-2.19783,3.85388,06/19/2017 14:21:12.989115720
-2.19783,3.85354,06/19/2017 14:21:13.988587280
-2.19784,3.85319,06/19/2017 14:21:14.988069800
-2.19783,3.85284,06/19/2017 14:21:15.987565460
-2.19783,3.85249,06/19/2017 14:21:16.987067920
-2.19783,3.85214,06/19/2017 14:21:17.986607920
-2.19783,3.8518,06/19/2017 14:21:18.986115360
-2.19783,3.85145,06/19/2017 14:21:19.985615200
-2.19783,3.8511,06/19/2017 14:21:20.985119660
-2.19783,3.85075,06/19/2017 14:21:21.984631640
-2.19783,3.8504,06/19/2017 14:21:22.984139900
-2.19783,3.85006,06/19/2017 14:21:23.983614960
-2.19783,3.84972,06/19/2017 14:21:24.983120220
-2.19783,3.84937,06/19/2017 14:21:25.982673780
-2.19783,3.84902,06/19/2017 14:21:26.982176940
-2.19783,3.84867,06/19/2017 14:21:27.981698160
-2.19783,3.84833,06/19/2017 14:21:28.981228660
-2.19783,3.84799,06/19/2017 14:21:29.980725520
-2.19783,3.84765,06/19/2017 14:21:30.980331840
-2.19783,3.8473,06/19/2017 14:21:31.979842220
-2.19783,3.84695,06/19/2017 14:21:32.979345020
-2.19783,3.84661,06/19/2017 14:21:33.978833280
-2.19783,3.84626,06/19/2017 14:21:34.978565460
-2.19783,3.84593,06/19/2017 14:21:35.978034920
-2.19783,3.84559,06/19/2017 14:21:36.977509420
-2.19783,3.84523,06/19/2017 14:21:37.977062420
-2.19783,3.84489,06/19/2017 14:21:38.976553200
-2.19783,3.84455,06/19/2017 14:21:39.976055380
-2.19783,3.84421,06/19/2017 14:21:40.975562700
-2.19783,3.84387,06/19/2017 14:21:41.975054740
-2.19783,3.84352,06/19/2017 14:21:42.974541340
-2.19783,3.84318,06/19/2017 14:21:43.974020500
-2.19783,3.84285,06/19/2017 14:21:44.973524420
-2.19783,3.8425,06/19/2017 14:21:45.973021200
-2.19783,3.84216,06/19/2017 14:21:46.972507300
-2.19783,3.84182,06/19/2017 14:21:47.972011400
-2.19783,3.84148,06/19/2017 14:21:48.971480840
-2.19783,3.84114,06/19/2017 14:21:49.970976860
-2.19783,3.8408,06/19/2017 14:21:50.970471840
-2.19783,3.84046,06/19/2017 14:21:51.969969260
-2.19783,3.84013,06/19/2017 14:21:52.969482480
-2.19783,3.83979,06/19/2017 14:21:53.968993860
-2.19784,3.83944,06/19/2017 14:21:54.968508460
-2.19784,3.8391,06/19/2017 14:21:55.968015220
-2.19784,3.83877,06/19/2017 14:21:56.967550360
-2.19784,3.83843,06/19/2017 14:21:57.967056460
-2.19783,3.83809,06/19/2017 14:21:58.966591220
-2.19783,3.83775,06/19/2017 14:21:59.966119360
-2.19784,3.83741,06/19/2017 14:22:00.965668720
-2.19783,3.83708,06/19/2017 14:22:01.965171740
-2.19783,3.83674,06/19/2017 14:22:02.964695960
-2.19784,3.83641,06/19/2017 14:22:03.964217840
-2.19783,3.83607,06/19/2017 14:22:04.963729920
-2.19783,3.83573,06/19/2017 14:22:05.963223820
-2.19783,3.83539,06/19/2017 14:22:06.962708360
-2.19784,3.83506,06/19/2017 14:22:07.962196180
-2.19783,3.83472,06/19/2017 14:22:08.961701580
-2.19784,3.83439,06/19/2017 14:22:09.961189960
-2.19783,3.83405,06/19/2017 14:22:10.960669080
-2.19783,3.83372,06/19/2017 14:22:11.960149140
-2.19783,3.83338,06/19/2017 14:22:12.959661780
-2.19783,3.83305,06/19/2017 14:22:13.959157360
-2.19783,3.83271,06/19/2017 14:22:14.958685940
-2.19783,3.83237,06/19/2017 14:22:15.958213260
-2.19783,3.83205,06/19/2017 14:22:16.957696640
-2.19783,3.83171,06/19/2017 14:22:17.957183360
-2.19783,3.83138,06/19/2017 14:22:18.956694420
-2.19784,3.83104,06/19/2017 14:22:19.956205120
-2.19783,3.8307,06/19/2017 14:22:20.955710820
-2.19783,3.83037,06/19/2017 14:22:21.955265600
-2.19783,3.83004,06/19/2017 14:22:22.954798800
-2.19783,3.82971,06/19/2017 14:22:23.954307400
-2.19783,3.82938,06/19/2017 14:22:24.953807340
-2.19783,3.82904,06/19/2017 14:22:25.953320260
-2.19784,3.82871,06/19/2017 14:22:26.952812620
-2.19784,3.82838,06/19/2017 14:22:27.952344520
-2.19783,3.82804,06/19/2017 14:22:28.951856040
-2.19783,3.82771,06/19/2017 14:22:29.951395800
-2.19783,3.82738,06/19/2017 14:22:30.950918780
-2.19783,3.82704,06/19/2017 14:22:31.950427860
-2.19783,3.82672,06/19/2017 14:22:32.949943060
-2.19783,3.82638,06/19/2017 14:22:33.949482540
-2.19783,3.82606,06/19/2017 14:22:34.949079960
-2.19784,3.82572,06/19/2017 14:22:35.948628080
-2.19783,3.8254,06/19/2017 14:22:36.948161360
-2.19784,3.82506,06/19/2017 14:22:37.947703920
-2.19784,3.82473,06/19/2017 14:22:38.947211540
-2.19783,3.82441,06/19/2017 14:22:39.946695260
-2.19783,3.82407,06/19/2017 14:22:40.946153680
-2.19784,3.82374,06/19/2017 14:22:41.945683120
-2.19783,3.82342,06/19/2017 14:22:42.945148140
-2.19784,3.82308,06/19/2017 14:22:43.944619960
-2.19784,3.82275,06/19/2017 14:22:44.944088720
-2.19784,3.82243,06/19/2017 14:22:45.943567360
-2.19784,3.8221,06/19/2017 14:22:46.943088800
-2.19784,3.82176,06/19/2017 14:22:47.942590820
-2.19784,3.82143,06/19/2017 14:22:48.942064000
-2.19784,3.8211,06/19/2017 14:22:49.941515740
-2.19784,3.82078,06/19/2017 14:22:50.941002720
-2.19784,3.82045,06/19/2017 14:22:51.940471820
-2.19784,3.82011,06/19/2017 14:22:52.939972000
-2.19784,3.81979,06/19/2017 14:22:53.939480820
-2.19784,3.81946,06/19/2017 14:22:54.938958220
-2.19784,3.81913,06/19/2017 14:22:55.938460900
-2.19784,3.8188,06/19/2017 14:22:56.937928000
-2.19784,3.81848,06/19/2017 14:22:57.937380600
-2.19784,3.81815,06/19/2017 14:22:58.936816700
-2.19783,3.81782,06/19/2017 14:22:59.936323420
-2.19783,3.81749,06/19/2017 14:23:00.935836040
-2.19783,3.81717,06/19/2017 14:23:01.935303600
-2.19784,3.81684,06/19/2017 14:23:02.934781820
-2.19784,3.81651,06/19/2017 14:23:03.934284680
-2.19784,3.81618,06/19/2017 14:23:04.933794000
-2.19784,3.81585,06/19/2017 14:23:05.933263960
