nIteration:	Current:	Voltage:	Time:
157	1.10006392	3.7933511734	06/15/2017 05:01:43.059547120
158	1.1000660658	3.7934803963	06/15/2017 05:01:44.058900100
159	1.1000678539	3.7935957909	06/15/2017 05:01:45.058332580
160	1.1000708342	3.7937281132	06/15/2017 05:01:46.057698900
161	1.1000742912	3.7938585281	06/15/2017 05:01:47.057040880
162	1.100069046	3.7939705849	06/15/2017 05:01:48.056437340
163	1.1000709534	3.7940933704	06/15/2017 05:01:49.055788560
164	1.1000663042	3.7942121029	06/15/2017 05:01:50.055165340
165	1.1000717878	3.7943308353	06/15/2017 05:01:51.054546660
166	1.1000674963	3.7944540977	06/15/2017 05:01:52.053879520
167	1.1000677347	3.7945744991	06/15/2017 05:01:53.053226520
168	1.1000640392	3.7946937084	06/15/2017 05:01:54.052623380
169	1.1000670195	3.7948081493	06/15/2017 05:01:55.051999520
170	1.1000671387	3.7949242592	06/15/2017 05:01:56.051354940
171	1.1000728607	3.7950568199	06/15/2017 05:01:57.050721340
172	1.1000686884	3.7951667309	06/15/2017 05:01:58.050090260
173	1.1000701189	3.7952871323	06/15/2017 05:01:59.049438080
174	1.1000665426	3.7953953743	06/15/2017 05:02:00.048871160
175	1.1000688076	3.7955207825	06/15/2017 05:02:01.048259880
176	1.1000666618	3.7956314087	06/15/2017 05:02:02.047618600
177	1.1000699997	3.7957539558	06/15/2017 05:02:03.047008880
178	1.1000689268	3.7958734035	06/15/2017 05:02:04.046377020
179	1.1000670195	3.795981884	06/15/2017 05:02:05.045781440
180	1.1000688076	3.7960927486	06/15/2017 05:02:06.045140340
181	1.1000677347	3.7962105274	06/15/2017 05:02:07.044496000
182	1.1000708342	3.7963173389	06/15/2017 05:02:08.043849820
183	1.1000725031	3.7964410782	06/15/2017 05:02:09.043222320
184	1.1000629663	3.7965521812	06/15/2017 05:02:10.042615020
185	1.1000676155	3.7966685295	06/15/2017 05:02:11.041961140
186	1.1000685692	3.7967815399	06/15/2017 05:02:12.041311060
187	1.1000679731	3.7968876362	06/15/2017 05:02:13.040685600
188	1.1000709534	3.7970097065	06/15/2017 05:02:14.040024340
189	1.1000705957	3.7971169949	06/15/2017 05:02:15.039398340
190	1.1000692844	3.7972385883	06/15/2017 05:02:16.038805220
191	1.1000711918	3.7973480225	06/15/2017 05:02:17.038150900
192	1.1000709534	3.7974586487	06/15/2017 05:02:18.037538120
193	1.1000652313	3.7975673676	06/15/2017 05:02:19.036898180
194	1.1000664234	3.7976808548	06/15/2017 05:02:20.036218900
195	1.1000669003	3.79778862	06/15/2017 05:02:21.035579120
196	1.1000709534	3.7979056835	06/15/2017 05:02:22.034931340
197	1.1000715494	3.7980120182	06/15/2017 05:02:23.034271440
198	1.1000733376	3.7981207371	06/15/2017 05:02:24.033651340
199	1.1000626087	3.7982275486	06/15/2017 05:02:25.033022680
200	1.1000715494	3.7983319759	06/15/2017 05:02:26.032401080
201	1.1000736952	3.7984552383	06/15/2017 05:02:27.031790620
202	1.1000705957	3.7985620499	06/15/2017 05:02:28.031144320
203	1.1000704765	3.7986707687	06/15/2017 05:02:29.030513020
204	1.1000753641	3.7987809181	06/15/2017 05:02:30.029905440
205	1.1000658274	3.7988848686	06/15/2017 05:02:31.029283140
206	1.1000777483	3.7990009785	06/15/2017 05:02:32.028663080
207	1.1000750065	3.799104929	06/15/2017 05:02:33.028020440
208	1.1000723839	3.7992138863	06/15/2017 05:02:34.027427960
209	1.1000736952	3.799318552	06/15/2017 05:02:35.026827280
210	1.1000730991	3.7994339466	06/15/2017 05:02:36.026186720
211	1.1000722647	3.7995390892	06/15/2017 05:02:37.025560660
212	1.1000725031	3.7996459007	06/15/2017 05:02:38.024936320
213	1.1000784636	3.7997477055	06/15/2017 05:02:39.024300160
214	1.1000767946	3.7998640537	06/15/2017 05:02:40.023661600
215	1.1000779867	3.7999675274	06/15/2017 05:02:41.023017660
216	1.1000769138	3.8000705242	06/15/2017 05:02:42.022374500
217	1.1000720263	3.8001778126	06/15/2017 05:02:43.021730460
218	1.1000714302	3.8002884388	06/15/2017 05:02:44.021068580
219	1.1000753641	3.8003928661	06/15/2017 05:02:45.020470660
220	1.1000715494	3.8004946709	06/15/2017 05:02:46.019830880
221	1.1000757217	3.8005988598	06/15/2017 05:02:47.019178100
222	1.100075841	3.8007082939	06/15/2017 05:02:48.018535660
223	1.1000725031	3.8008122444	06/15/2017 05:02:49.017891400
224	1.1000750065	3.8009271622	06/15/2017 05:02:50.017236720
225	1.1000727415	3.8010201454	06/15/2017 05:02:51.016611380
226	1.1000775099	3.8011240959	06/15/2017 05:02:52.015979100
227	1.1000754833	3.8012337685	06/15/2017 05:02:53.015335300
228	1.1000692844	3.8013372421	06/15/2017 05:02:54.014733120
229	1.1000670195	3.8014438152	06/15/2017 05:02:55.014086140
230	1.1000754833	3.801548481	06/15/2017 05:02:56.013457120
231	1.1000715494	3.8016517162	06/15/2017 05:02:57.012805960
232	1.100075841	3.8017551899	06/15/2017 05:02:58.012148140
233	1.1000784636	3.8018577099	06/15/2017 05:02:59.011570800
234	1.1000686884	3.8019545078	06/15/2017 05:03:00.010969080
235	1.100070715	3.8020656109	06/15/2017 05:03:01.010308720
236	1.1000680923	3.8021643162	06/15/2017 05:03:02.009683940
237	1.1000727415	3.8022751808	06/15/2017 05:03:03.009057220
238	1.1000709534	3.8023748398	06/15/2017 05:03:04.008410960
239	1.1000738144	3.8024766445	06/15/2017 05:03:05.007780720
240	1.1000669003	3.8025767803	06/15/2017 05:03:06.007170860
241	1.1000734568	3.8026840687	06/15/2017 05:03:07.006504220
242	1.1000732183	3.8027832508	06/15/2017 05:03:08.005870640
243	1.1000680923	3.8028850555	06/15/2017 05:03:09.005261540
244	1.1000683308	3.8029878139	06/15/2017 05:03:10.004602980
245	1.1000747681	3.8030869961	06/15/2017 05:03:11.003976600
246	1.1000760794	3.8031980991	06/15/2017 05:03:12.003327540
247	1.1000647545	3.8032968044	06/15/2017 05:03:13.002653780
248	1.1000715494	3.803394556	06/15/2017 05:03:14.002048680
249	1.1000754833	3.803494215	06/15/2017 05:03:15.001432800
250	1.1000723839	3.8035998344	06/15/2017 05:03:16.000817700
251	1.1000733376	3.8037028313	06/15/2017 05:03:17.000177780
252	1.1000691652	3.8038024902	06/15/2017 05:03:17.999541000
253	1.1000653505	3.803904295	06/15/2017 05:03:18.998933580
254	1.1000680923	3.8040053844	06/15/2017 05:03:19.998299280
255	1.100075841	3.8041126728	06/15/2017 05:03:20.997629400
256	1.1000673771	3.8042068481	06/15/2017 05:03:21.996979480
257	1.1000723839	3.8043076992	06/15/2017 05:03:22.996322260
258	1.1000692844	3.8044083118	06/15/2017 05:03:23.995669320
259	1.1000753641	3.8045113087	06/15/2017 05:03:24.995031900
260	1.1000691652	3.8046109676	06/15/2017 05:03:25.994372880
261	1.1000723839	3.8047122955	06/15/2017 05:03:26.993677800
262	1.1000698805	3.8048107624	06/15/2017 05:03:27.993048280
263	1.100074172	3.8049125671	06/15/2017 05:03:28.992441680
264	1.100069046	3.805013895	06/15/2017 05:03:29.991771980
265	1.1000678539	3.8051145077	06/15/2017 05:03:30.991124980
266	1.1000694036	3.8052167892	06/15/2017 05:03:31.990489880
267	1.100075841	3.8053245544	06/15/2017 05:03:32.989825040
