Iteration:	Current:	Voltage:	Time:
372	1.1000658274	3.8032741547	06/14/2017 23:27:51.646259620
373	1.1000648737	3.8033607006	06/14/2017 23:27:52.645598520
374	1.100060463	3.8034505844	06/14/2017 23:27:53.644920520
375	1.1000699997	3.8035409451	06/14/2017 23:27:54.644217300
376	1.1000583172	3.8036279678	06/14/2017 23:27:55.643628560
377	1.1000630856	3.8037264347	06/14/2017 23:27:56.642966140
378	1.10006392	3.8038105965	06/14/2017 23:27:57.642284480
379	1.1000680923	3.8038959503	06/14/2017 23:27:58.641634720
380	1.1000630856	3.8039896488	06/14/2017 23:27:59.640959940
381	1.1000666618	3.8040816784	06/14/2017 23:28:00.640311780
382	1.1000652313	3.8041620255	06/14/2017 23:28:01.639664460
383	1.100065589	3.8042612076	06/14/2017 23:28:02.638995820
384	1.1000672579	3.8043437004	06/14/2017 23:28:03.638313880
385	1.10006845	3.8044373989	06/14/2017 23:28:04.637664260
386	1.1000659466	3.804517746	06/14/2017 23:28:05.637014760
387	1.1000701189	3.8046140671	06/14/2017 23:28:06.636354920
388	1.1000698805	3.804703474	06/14/2017 23:28:07.635683940
389	1.10006845	3.8047938347	06/14/2017 23:28:08.635022540
390	1.1000759602	3.804880619	06/14/2017 23:28:09.634622760
391	1.1000640392	3.8049776554	06/14/2017 23:28:10.633973540
392	1.1000663042	3.8050575256	06/14/2017 23:28:11.633307540
393	1.1000652313	3.805150032	06/14/2017 23:28:12.632681760
394	1.1000664234	3.8052415848	06/14/2017 23:28:13.632002720
395	1.1000665426	3.8053286076	06/14/2017 23:28:14.631332820
396	1.100070715	3.8054265976	06/14/2017 23:28:15.630675740
397	1.1000697613	3.8055098057	06/14/2017 23:28:16.630008060
398	1.1000699997	3.8055961132	06/14/2017 23:28:17.629364160
399	1.1000695229	3.8056864738	06/14/2017 23:28:18.628701700
400	1.1000751257	3.8057816029	06/14/2017 23:28:19.628045040
401	1.1000676155	3.8058710098	06/14/2017 23:28:20.627351700
402	1.1000671387	3.8059492111	06/14/2017 23:28:21.626698060
403	1.1000722647	3.8060388565	06/14/2017 23:28:22.626062820
404	1.1000775099	3.8061385155	06/14/2017 23:28:23.625389200
405	1.1000705957	3.8062260151	06/14/2017 23:28:24.624788360
406	1.1000680923	3.8063087463	06/14/2017 23:28:25.624105120
407	1.1000715494	3.8064088821	06/14/2017 23:28:26.623472040
408	1.1000689268	3.8064954281	06/14/2017 23:28:27.622768760
409	1.1000717878	3.8065879345	06/14/2017 23:28:28.622099960
410	1.1000703573	3.8066711426	06/14/2017 23:28:29.621464940
411	1.1000699997	3.8067669868	06/14/2017 23:28:30.620790460
412	1.1000682116	3.8068528175	06/14/2017 23:28:31.620139100
413	1.1000672579	3.8069410324	06/14/2017 23:28:32.619485980
414	1.1000634432	3.807033062	06/14/2017 23:28:33.618829240
415	1.1000612974	3.8071155548	06/14/2017 23:28:34.618183920
416	1.1000645161	3.8072075844	06/14/2017 23:28:35.617517820
417	1.1000686884	3.8072962761	06/14/2017 23:28:36.616840060
418	1.1000711918	3.8073909283	06/14/2017 23:28:37.616163280
419	1.10006392	3.807482481	06/14/2017 23:28:38.615528240
420	1.1000660658	3.8075649738	06/14/2017 23:28:39.614889400
421	1.1000617743	3.8076579571	06/14/2017 23:28:40.614217060
422	1.10006392	3.8077435493	06/14/2017 23:28:41.613563520
