Iteration:	Current:	Voltage:	Time:
214	1.1000651121	3.7802214622	06/15/2017 02:13:44.020300000
215	1.1000649929	3.7803235054	06/15/2017 02:13:45.019625700
216	1.1000664234	3.7804291248	06/15/2017 02:13:46.019013260
217	1.1000669003	3.7805254459	06/15/2017 02:13:47.018327860
218	1.1000648737	3.7806293964	06/15/2017 02:13:48.017681080
219	1.1000628471	3.7807197571	06/15/2017 02:13:49.017033620
220	1.1000697613	3.7808229923	06/15/2017 02:13:50.016352680
221	1.1000645161	3.7809216976	06/15/2017 02:13:51.015684180
222	1.1000703573	3.7810206413	06/15/2017 02:13:52.015004940
223	1.1000672579	3.781113863	06/15/2017 02:13:53.014313360
224	1.1000692844	3.7812190056	06/15/2017 02:13:54.013655100
225	1.1000723839	3.7813167572	06/15/2017 02:13:55.012974120
226	1.1000679731	3.7814142704	06/15/2017 02:13:56.012289860
227	1.1000753641	3.7815155983	06/15/2017 02:13:57.011642340
228	1.1000703573	3.7816102505	06/15/2017 02:13:58.010982660
229	1.1000765562	3.7817130089	06/15/2017 02:13:59.010293380
230	1.1000736952	3.7818033695	06/15/2017 02:14:00.009685360
231	1.1000742912	3.7819037437	06/15/2017 02:14:01.009068580
232	1.1000775099	3.7820005417	06/15/2017 02:14:02.008461720
233	1.100075841	3.782094717	06/15/2017 02:14:03.007824560
234	1.1000676155	3.782191515	06/15/2017 02:14:04.007221960
235	1.1000742912	3.7822844982	06/15/2017 02:14:05.006583920
236	1.1000745296	3.7823841572	06/15/2017 02:14:06.005966560
237	1.1000754833	3.7824733257	06/15/2017 02:14:07.005337880
238	1.1000750065	3.7825737	06/15/2017 02:14:08.004634340
239	1.1000725031	3.7826676369	06/15/2017 02:14:09.003909060
240	1.1000711918	3.7827603817	06/15/2017 02:14:10.003248880
241	1.1000709534	3.7828588486	06/15/2017 02:14:11.002552440
242	1.1000748873	3.7829506397	06/15/2017 02:14:12.001865980
243	1.1000750065	3.7830388546	06/15/2017 02:14:13.001189900
244	1.1000670195	3.7831301689	06/15/2017 02:14:14.000513640
245	1.100071907	3.7832250595	06/15/2017 02:14:14.999853440
246	1.1000709534	3.7833201885	06/15/2017 02:14:15.999181000
247	1.1000669003	3.7834115028	06/15/2017 02:14:16.998495660
248	1.1000748873	3.7835063934	06/15/2017 02:14:17.997802660
249	1.1000636816	3.7836015224	06/15/2017 02:14:18.997135800
250	1.10006392	3.7836930752	06/15/2017 02:14:19.996458800
251	1.1000688076	3.7837891579	06/15/2017 02:14:20.995756920
252	1.1000728607	3.7838785648	06/15/2017 02:14:21.995076060
253	1.1000726223	3.7839763165	06/15/2017 02:14:22.994380880
